tag,model_family,mode,supervision_mode,target_policy,latent_dim,hidden_dim,num_layers,n_complexes,n_total_fits,val_fraction_of_trainval,records_path,summary_source,train_rmse_mean,train_rmse_std,train_rmse_min,train_rmse_max,val_rmse_mean,val_rmse_std,val_rmse_min,val_rmse_max,test_rmse_mean,test_rmse_std,test_rmse_min,test_rmse_max,train_r2_mean,train_r2_std,train_r2_min,train_r2_max,val_r2_mean,val_r2_std,val_r2_min,val_r2_max,test_r2_mean,test_r2_std,test_r2_min,test_r2_max,train_pearson_r_mean,train_pearson_r_std,train_pearson_r_min,train_pearson_r_max,val_pearson_r_mean,val_pearson_r_std,val_pearson_r_min,val_pearson_r_max,test_pearson_r_mean,test_pearson_r_std,test_pearson_r_min,test_pearson_r_max,test_train_rmse_gap_mean,test_train_rmse_gap_std,test_train_rmse_gap_min,test_train_rmse_gap_max,train_val_rmse_gap_mean,train_val_rmse_gap_std,train_val_rmse_gap_min,train_val_rmse_gap_max
full_base_S,supervised_baseline,S,supervised,,,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/resample_summary.json,1.5358168612720027,0.14934338277289608,1.2327868888581603,1.7016620165440712,2.2728465426869664,0.17746271543437392,1.967300326928359,2.5869949258377396,2.3378841572333955,0.10673646765631159,2.104499235286485,2.4369133676948755,0.6628889013381432,0.061090881681806264,0.5978983274043171,0.7783024545226702,0.2552551883883848,0.04964025348019048,0.12984886774076654,0.32478356100432104,0.2146241773770962,0.08914518866296052,0.06942338996845332,0.3376529823119002,0.8224952972320271,0.034475854406839125,0.7778800973206251,0.8842042611249272,0.5337074505446363,0.04249426479005123,0.4350659220290803,0.6072471409865601,0.506382468679272,0.05667709541591946,0.44173593507699077,0.5937934081135663,0.8020672959613926,0.16716661870303384,0.43580882238645646,1.0218206613879621,0.7370296814149643,0.2929911617780414,0.30845933426202676,1.1936280341396874
full_base_SD,supervised_baseline,SD,supervised,,,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/resample_summary.json,1.5659353110750727,0.2668395824093397,1.2722429126958665,2.069740474953149,2.2983142815750783,0.21274628851198493,2.074698818519835,2.6924507451071524,2.4072864904179645,0.1289913099139471,2.141547344028343,2.581709962803404,0.6449936211471672,0.11611052127588786,0.41538232207887016,0.7727565679285591,0.23668351968343498,0.09082253389640259,0.057461562257918875,0.3401055941836647,0.16848878234998121,0.08755329933742914,0.029735406765163952,0.3141274836695701,0.8077355627640135,0.0768557107566681,0.6478747255347592,0.8860486548752823,0.519104469404134,0.06983624656874997,0.3933821625884981,0.5999976028696881,0.48021969082039045,0.04935565273776725,0.4153564149951012,0.5769867520811207,0.841351179342892,0.26039496244128785,0.40485709906747114,1.1402385395282755,0.7323789705000052,0.42362265424508144,0.0059193274276836405,1.3514951794140988
full_S_semi_shared_static_z32,vae_ridge,S,semi_supervised,shared_static,32,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_semi_shared_static_z32/resample_summary.json,1.6840809719019496,0.21713994734419012,1.2818288325122387,2.019512311835615,2.3946399591167107,0.2189590543382611,2.0275911591816307,2.784103504530535,2.4292307129263437,0.08089355844443544,2.295585726084574,2.548656761061082,0.5923037106846312,0.09642033329827818,0.4434128587385461,0.7700763435677869,0.17235724636218114,0.0879736862664909,-0.007799851080314557,0.3402064297667152,0.15372458369689665,0.06736646611902938,0.06322067913747909,0.22925804883639855,0.7677889268950057,0.06167957266052852,0.6672174898378109,0.877618287899317,0.4685423438326876,0.07620133376609232,0.30660697241172113,0.6048076330100278,0.4648971864548761,0.03625797336246258,0.4101654485132404,0.5128021411158045,0.7451497410243941,0.26284175880302013,0.4157409878199525,1.2137971102506557,0.7105589872147613,0.3165246902089304,0.08097933290180892,1.0666889346478037
full_SD_semi_shared_static_z8,vae_ridge,SD,semi_supervised,shared_static,8,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z8/resample_summary.json,1.306075971323319,0.24778751986934314,1.0150365924534877,1.894272302936261,2.4135086781581783,0.19694181267049826,2.046524437897386,2.665100290169285,2.436412326727348,0.10647219619334537,2.3055148296912975,2.658547947361741,0.7504877378716379,0.09863468158988668,0.5103057811590543,0.8618461434704774,0.16111201407734818,0.04780727113337778,0.07651329178276645,0.24110181082390758,0.14782231101832327,0.08599403238373403,0.0021984915341968225,0.27012829684014783,0.8644736082191479,0.06010322095430236,0.7145194691291268,0.9283807680181987,0.4768373803485539,0.04923980443694151,0.391787946370748,0.5717886836377295,0.47486160178013403,0.05292728478851827,0.3742718021787003,0.5510261930170888,1.130336355404029,0.28254042261109685,0.5430951176522547,1.5657670292988157,1.1074327068348597,0.3666331221912028,0.15225213496112522,1.4653913543315673
full_S_semi_shared_static_z8,vae_ridge,S,semi_supervised,shared_static,8,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_semi_shared_static_z8/resample_summary.json,1.7486416642564884,0.25307702841291924,1.3210326346792183,2.1381224078161543,2.39742682501025,0.15510393151708962,2.1215328719533284,2.5894996585475774,2.440726199298642,0.09612804697817134,2.3242488908968078,2.6662716733249723,0.5580802183412831,0.12297478749681313,0.3398396021692094,0.761337460253183,0.1692377214861199,0.06484441775727659,0.05096675855792687,0.27765140609538774,0.14505538592618322,0.07896161733621589,0.009273893344410533,0.2876028828962447,0.7430329524620283,0.08374428020112228,0.5831962470362708,0.872684015529404,0.4671655722388234,0.05273769872839911,0.4052116057696518,0.5650386114640595,0.45069303767903746,0.05493560752502526,0.3948994694306561,0.5451060103097248,0.6920845350421534,0.2564052616549775,0.3185093479804961,1.1322939114923596,0.6487851607537618,0.3126819643833357,0.267478045838909,1.178702630322479
full_S_semi_shared_static_z16,vae_ridge,S,semi_supervised,shared_static,16,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_semi_shared_static_z16/resample_summary.json,1.7827143132363594,0.17935331788122483,1.3512217251001555,1.986321575620615,2.393331013675122,0.19795169971899584,2.046749125597514,2.715687466437233,2.4407313289572046,0.11639410236404565,2.310124160767868,2.650567136607696,0.5457155797308503,0.08167222057700088,0.4530992607255757,0.7336589486990401,0.17220972707932097,0.08661672542793634,0.04112253611946792,0.32767922989214604,0.14382988858389495,0.10070926624388027,-0.05343510064427193,0.2671779769898198,0.7372571529073958,0.05342768787017064,0.6737340106149856,0.8565839480788113,0.46394652628234156,0.07673982282565905,0.3239128597525884,0.5848993301529654,0.4498544900176317,0.07577522063432504,0.2910323022590287,0.5251136659507099,0.658017015720845,0.1849397435538825,0.4194234866298765,1.0281430812303973,0.610616700438762,0.26299308526848647,0.21081426366380507,1.0753454441158181
full_SD_semi_sd_static_plus_dynamic_all_z16,vae_ridge,SD,semi_supervised,sd_static_plus_dynamic_all,16,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_sd_static_plus_dynamic_all_z16/resample_summary.json,1.5467858792956493,0.30262463248885413,1.1577750471921018,2.113388153277017,2.4813324141660495,0.15527176618436514,2.2387804893382013,2.7527876560311983,2.4419475699549418,0.10361279899351265,2.2815112760765586,2.551434974204668,0.6514923666689125,0.13006857929376198,0.39046493347573197,0.8124262954525374,0.10984925535526258,0.0692495536844436,0.01474429063625049,0.2140127118208517,0.14371321712920718,0.08910770888585526,-0.034837101179158614,0.2852471009480063,0.8033858981547762,0.08463263729059559,0.6255536792766068,0.9013975200199212,0.42740562602948035,0.06116448349241976,0.3399260683643829,0.5193162426931318,0.45028767707601636,0.058176443564738514,0.341715248764903,0.5555366215298233,0.8951616906592921,0.32825878893499927,0.40499508531704365,1.3258594208075567,0.9345465348704002,0.36876253101190637,0.12539233606118438,1.334032534727314
full_SD_semi_shared_static_z32,vae_ridge,SD,semi_supervised,shared_static,32,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z32/resample_summary.json,1.2254197888965375,0.33661929179905364,0.8522983440975886,1.9409219223186194,2.3637560406271563,0.1861830692349158,2.0515529172321503,2.6463004970989115,2.442336565395473,0.08892322335455756,2.3338809372758713,2.6038710398060716,0.7742620499125304,0.1251451389671363,0.48588971878311393,0.8940336048323945,0.19130156806640627,0.09532383685737347,-0.015971010282728182,0.32451960573784855,0.14425128900247836,0.07576978591508254,-0.02044969399734642,0.25205772674392124,0.8773181753623772,0.07501023323969012,0.6990219906416693,0.9455767513675307,0.49841922570609276,0.06314055366344619,0.3902068291439831,0.6162103088944664,0.4668777803139945,0.03420819829743014,0.39230014485054754,0.5167794698835745,1.216916776498936,0.36200865018323686,0.5554422693870527,1.6441489085294436,1.1383362517306184,0.411220101208442,0.17164183090585916,1.6443299327209016
full_SD_semi_shared_static_z16,vae_ridge,SD,semi_supervised,shared_static,16,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/resample_summary.json,1.3204184472494604,0.22641720658241518,0.920476845974809,1.6397003163470976,2.384123510092082,0.13759438355172027,2.1575180793747393,2.5826912024531783,2.4515861802581167,0.08432718966903961,2.3278721959458086,2.546672812882315,0.7466825070281248,0.08083767122439464,0.6330819140942188,0.8825548389923431,0.1736751728526643,0.1140271943502787,-0.10656542065049068,0.2745465520331547,0.13544049346895318,0.10143140089220545,-0.03441954253834134,0.23109653581873402,0.8631587426588002,0.046854094854230706,0.7958128230607522,0.9395646320223434,0.4869807865952695,0.07471108673230109,0.3197577480172903,0.5537498410482841,0.46293291375428824,0.05447180371806036,0.3909936284760952,0.5325338567513136,1.1311677330086565,0.20224111164953046,0.8202947887490859,1.5109071051163863,1.063705062842622,0.28774018427152237,0.6808812281962624,1.4979050396633165
full_SD_semi_sd_static_plus_dynamic_all_z32,vae_ridge,SD,semi_supervised,sd_static_plus_dynamic_all,32,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_sd_static_plus_dynamic_all_z32/resample_summary.json,1.6160039705439702,0.22988960617356483,1.3515829959250656,1.9399924305673772,2.4267630973292067,0.18099145987413964,2.188609791972378,2.6565802249692063,2.4687499084517435,0.08643287395509529,2.304907837343265,2.5819915813872405,0.622740841284018,0.1065513625644725,0.47831366464357106,0.7443716458150307,0.14763401160055928,0.09268457950668767,-0.0145641916335435,0.25155216786249646,0.12331457182909641,0.10110253282646992,-0.025291276563609077,0.2705125652156888,0.7867069683874361,0.06830083305858527,0.6920776577883059,0.8628502997084869,0.4466893029563236,0.07742479534553652,0.3367293555333707,0.5360015029219747,0.4411035056868253,0.059940029404597465,0.34288883007590015,0.5342192048212644,0.8527459379077733,0.24343953456818299,0.4660712884610092,1.1494896369407515,0.8107591267852363,0.23986454067236287,0.39635794810164793,1.275684861114534
full_SD_semi_sd_dynamic_all_z32,vae_ridge,SD,semi_supervised,sd_dynamic_all,32,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_sd_dynamic_all_z32/resample_summary.json,1.4587145847212426,0.1482041218640288,1.2717941466040852,1.672680579937948,2.4300804780390943,0.1730137884925893,2.156534501984359,2.7140574280738523,2.473986841361742,0.10669267217644468,2.382558716137977,2.686496078906257,0.6941735227335929,0.06812491620865019,0.5918583643822497,0.7831131315078408,0.14643424233152685,0.07448067668188424,0.04227328559928778,0.2557661012696625,0.12313493945781775,0.06422394676082144,0.017686196540869115,0.24593922430605453,0.8324356113738114,0.041200760733606144,0.7698653276863378,0.8850363671060811,0.4640809115693914,0.0584289524718022,0.36988525667219263,0.5408007849151218,0.45080795896473286,0.031178507160585414,0.39814116110105224,0.5019166960778669,1.0152722566405,0.18574748419997303,0.7763898508708209,1.2843014765936556,0.971365893317852,0.23157195962768362,0.7348220183537246,1.4079815092096424
full_SD_semi_sd_dynamic_all_z8,vae_ridge,SD,semi_supervised,sd_dynamic_all,8,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_sd_dynamic_all_z8/resample_summary.json,1.5587901832895974,0.28842586864030034,1.0316662992776342,1.8894540683158518,2.4308337962338076,0.1630770194763265,2.195298083065077,2.6763405021594258,2.5168364571941924,0.11631659317939444,2.3549786478560555,2.7471442553035144,0.6430277557893749,0.12746777702516307,0.4833064503804657,0.8524674399869847,0.14618323129347513,0.0655980797303039,0.05321248072893103,0.24787594790568346,0.09197563079095045,0.07966443231147512,-0.08262139971162541,0.17222225202314878,0.7984671568353175,0.07944152056097697,0.6953251857421209,0.9233125296936934,0.4579938229358821,0.04403934920959699,0.374954013079268,0.5167285469571792,0.42015257809828715,0.030531693202087186,0.3662373174795114,0.4675698727216419,0.9580462739045952,0.3021551681596597,0.46552457954020365,1.3846104683801168,0.8720436129442101,0.38163564426149893,0.372255696846155,1.475095907888977
full_SD_semi_sd_static_plus_dynamic_all_z8,vae_ridge,SD,semi_supervised,sd_static_plus_dynamic_all,8,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_sd_static_plus_dynamic_all_z8/resample_summary.json,1.7458582973679289,0.20456899883029445,1.4436054024249085,2.0742377964464547,2.491283669264337,0.1586004677280718,2.2090250796338515,2.736180137685029,2.527718348390672,0.11676904480940488,2.4032510176595254,2.735443590713125,0.5612430565716146,0.1069284592079067,0.3859586479791094,0.714993895518653,0.1010029345066074,0.09351516806676574,-0.0833549068302879,0.2221443744482755,0.08182047544560081,0.1057015113869086,-0.12198149398798286,0.21514888459393988,0.746047977348864,0.07328987798694667,0.6212847477151476,0.8456640757725028,0.41062638917764166,0.07262180652094437,0.3034296998759394,0.5296546113001112,0.40916122691499596,0.052283909102368964,0.30791966583820085,0.47248233777365056,0.7818600510227436,0.2548428923020062,0.3636509439340636,1.1470623297336051,0.7454253718964087,0.24956471126202145,0.27405698701519254,1.0496658205250455
full_SD_semi_sd_dynamic_all_z16,vae_ridge,SD,semi_supervised,sd_dynamic_all,16,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_sd_dynamic_all_z16/resample_summary.json,1.49145556793563,0.17620585524542504,1.206133895375509,1.8688128214382425,2.438470250031256,0.12508128900290127,2.259070388777234,2.6326088764140616,2.5542707452715114,0.14859954929480754,2.3920057607337735,2.8449337709399076,0.6804559493622936,0.07489105141855354,0.5233805420582955,0.7964295999883032,0.1398385830422687,0.06034123249922108,-0.002593890920787656,0.2123474139467214,0.06289166396727072,0.11210439281287722,-0.14864373944006393,0.22451187486275126,0.8239219528933616,0.04624932617364723,0.7235495043475539,0.8924886791387943,0.4532828366303791,0.037943750077251495,0.3903841839860967,0.49520459446733267,0.3953994024961317,0.06889035448987668,0.25702595377350634,0.49171607962492564,1.0628151773358812,0.17388759752337676,0.8259052047186659,1.3394482418175742,0.9470146820956252,0.2373743987764225,0.3902575673389914,1.2146920142513602
iface_base_S,supervised_baseline,S,supervised,,,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_interface.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/resample_summary.json,1.769282299228821,0.39950070897526224,0.9003833313977981,2.1839412467060093,2.4863771959732963,0.15866832485683252,2.2334815749927825,2.7868746551544312,2.578236703098974,0.11196171943993274,2.359350847362589,2.71789983386293,0.5372420769141322,0.17597186468913892,0.3112426613775623,0.8865567975263449,0.10604558965634361,0.07428495360630764,-0.022565860934452786,0.199406519095763,0.04704123012299587,0.08199474413470673,-0.10763599646455058,0.1531039807490785,0.737896021311381,0.11808778468943387,0.5675020267958183,0.9501799228530473,0.3864844267089582,0.06370984878922488,0.2500850532459277,0.4832114237497719,0.34505767671699317,0.05724292968473338,0.22298960729401088,0.4168581703591789,0.8089544038701533,0.4737288780405361,0.2988529584152886,1.8175165024651316,0.7170948967444748,0.4764392533893604,0.1226138887484538,1.6396583640927638
iface_base_SD,supervised_baseline,SD,supervised,,,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_interface.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_SD/resample_summary.json,1.8874730664698665,0.22768217490074905,1.3593753845120633,2.1001266996165207,2.5445063421859118,0.16500020607348662,2.286917879816808,2.8162845602297555,2.5828878491415574,0.1366905117730208,2.354174538087578,2.8466454440928968,0.4865635670050339,0.117394726049762,0.35660769303550033,0.7414155600029524,0.06437735517571694,0.06927438637726653,-0.027464127212892153,0.15601615522490653,0.0462806107143512,0.04892436297763045,-0.02184803581088568,0.11552464243635141,0.7037390184989649,0.08121412620025502,0.6044874531879576,0.8702112309506276,0.34675556069188257,0.07298912684340127,0.23732972850514328,0.4436904642780909,0.3347279500734108,0.03778727657659712,0.25753268405124446,0.37327696864820853,0.6954147826716917,0.2497266838362118,0.43164046501041553,1.228697704984523,0.6570332757160458,0.24020048749417086,0.2611245668684914,1.0899789950871848
full_S_unsup_shared_static_z32,vae_ridge,S,unsupervised,shared_static,32,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z32/resample_summary.json,2.5288899042054007,0.07032180121341879,2.419997420546952,2.6584986087989333,2.580548659893268,0.1697289189530745,2.1852774644120236,2.7546006646509444,2.5905660695669304,0.12451661866437225,2.431874844247207,2.8292404585800868,0.0926685714707327,0.03307773830347299,0.05229648942785359,0.1568779391412335,0.03959582063394301,0.04171241924427789,-0.040985903517495315,0.11303444019902398,0.04014740320012444,0.050104323493684835,-0.04280498861201942,0.10197766891108051,0.31135219592422436,0.04893424478148799,0.2381154417080297,0.39977406003531585,0.21426970383217356,0.07566499931293774,0.10162965583185807,0.33807179535802895,0.22706879262240626,0.084665653393741,0.08347509766673139,0.3531673067388651,0.061676165361529825,0.16363328331986393,-0.1419390314504514,0.3431516731169322,0.05165875568786675,0.20974344384987872,-0.38595937650387313,0.2750895435637615
