tag,model_family,mode,supervision_mode,target_policy,latent_dim,hidden_dim,num_layers,n_complexes,n_total_fits,val_fraction_of_trainval,records_path,summary_source,train_rmse_mean,train_rmse_std,train_rmse_min,train_rmse_max,val_rmse_mean,val_rmse_std,val_rmse_min,val_rmse_max,test_rmse_mean,test_rmse_std,test_rmse_min,test_rmse_max,train_r2_mean,train_r2_std,train_r2_min,train_r2_max,val_r2_mean,val_r2_std,val_r2_min,val_r2_max,test_r2_mean,test_r2_std,test_r2_min,test_r2_max,train_pearson_r_mean,train_pearson_r_std,train_pearson_r_min,train_pearson_r_max,val_pearson_r_mean,val_pearson_r_std,val_pearson_r_min,val_pearson_r_max,test_pearson_r_mean,test_pearson_r_std,test_pearson_r_min,test_pearson_r_max,test_train_rmse_gap_mean,test_train_rmse_gap_std,test_train_rmse_gap_min,test_train_rmse_gap_max,train_val_rmse_gap_mean,train_val_rmse_gap_std,train_val_rmse_gap_min,train_val_rmse_gap_max
iface_S_semi_shared_static_z8,vae_ridge,S,semi_supervised,shared_static,8,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_interface.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_S_semi_shared_static_z8/resample_summary.json,1.8022738176638726,0.36302762684473294,0.8999244396260299,2.2010641974197807,2.5773311582709195,0.17744885641752456,2.2693142840954956,2.8125474743045116,2.6041235146980966,0.10188256123657398,2.461274984433041,2.7691584304240076,0.523661613970366,0.15793496898500092,0.33744401094564613,0.8811145017494462,0.0397407628208602,0.08204455325160874,-0.03641128287386519,0.18624912216405798,0.02820464514704111,0.07183422514354225,-0.0764161298901671,0.12823077488592194,0.7168983174106487,0.1050340164675471,0.5815305729373552,0.9386993528775356,0.3437164285997715,0.06400423015039303,0.2751642101713931,0.4564286155130822,0.3402491140634332,0.06112666976017669,0.2355019657724656,0.40750745128191374,0.8018496970342242,0.4083916326879349,0.3561591035349889,1.7720083187493323,0.7750573406070468,0.4401889590784555,0.3832857571398103,1.9126230346784818
full_S_unsup_shared_static_z16,vae_ridge,S,unsupervised,shared_static,16,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/resample_summary.json,2.5858195702414517,0.05520391522071966,2.5078735570770214,2.660959447452074,2.597317293801887,0.17506500901874186,2.2170411898871496,2.8252165889062524,2.605247027206574,0.140311929414222,2.460774478452822,2.9068099250164536,0.05158958284301789,0.012922825179271508,0.0267078313880158,0.0695310228090189,0.027794426210834656,0.02370502569473895,-0.0023243895116369373,0.074181559433111,0.030303108099877983,0.03513085425410614,-0.0297689028567083,0.09350238888005458,0.23666581109961218,0.030062294234561984,0.17083633570688275,0.2730742030731355,0.17614665220789955,0.07753321233014802,0.05505571620744462,0.34276037975956936,0.1910338233389287,0.08453347567325876,0.02794693636529223,0.3221849044424956,0.019427456965122315,0.17854277986999414,-0.2001849689992521,0.3989363679394322,0.011497723560435524,0.21318003281325174,-0.4368786624296148,0.22906859742945507
full_S_unsup_shared_static_z8,vae_ridge,S,unsupervised,shared_static,8,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z8/resample_summary.json,2.605344413047189,0.06202034328326007,2.5085863851178223,2.6912619394906656,2.599702822862528,0.17718698541834452,2.242934266575623,2.822857344260668,2.6069249195580593,0.11501902683550908,2.4718484618566863,2.7699035838067765,0.037219824372179765,0.01901712746158526,0.01155593649329334,0.06656809388348317,0.02583378946284536,0.032159756684740345,-0.007109276045660806,0.08754550153225149,0.028643891453153193,0.021488738547446453,-0.006356614261446625,0.06494790327145405,0.19780970957286254,0.041936279037191895,0.13027250728509923,0.2590999066924659,0.17871293498329746,0.10459641820650097,0.0693645119686611,0.33927669899324514,0.19836109961410486,0.0549054673521755,0.09843883783723954,0.2830203168869939,0.001580506510870272,0.15653807519317406,-0.2145559781198645,0.2613171986889542,-0.0056415901846607495,0.2160743800095338,-0.4483276729150427,0.24309661592325948
iface_S_semi_shared_static_z32,vae_ridge,S,semi_supervised,shared_static,32,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_interface.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_S_semi_shared_static_z32/resample_summary.json,1.8759448125708276,0.16643305202435033,1.5677175400666687,2.103217619066911,2.5534211713426336,0.14883063044509134,2.26041901605802,2.7294297815707638,2.611313579422482,0.052426378364742114,2.48251051948303,2.6572718084217235,0.4977361972498837,0.08459698278130716,0.3464399443017182,0.6450885809226028,0.05763492499632329,0.06405333781157974,-0.0531813947951143,0.15274550725005465,0.020669468462196406,0.08860962621965186,-0.15398093653945777,0.1673024287653313,0.7036974294069975,0.06040955135865678,0.5896421816356361,0.803367499712714,0.35318588795892025,0.04765438228763542,0.2827597124093063,0.44017854893880903,0.336356192002164,0.05341875293219785,0.23840147371466253,0.41119921737901366,0.7353687668516548,0.1938994310939632,0.37929290041611896,1.0704765397366733,0.6774763587718065,0.27549953342586886,0.2664263460200389,1.0297763747165063
iface_S_semi_shared_static_z16,vae_ridge,S,semi_supervised,shared_static,16,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_interface.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_S_semi_shared_static_z16/resample_summary.json,1.8619218798969293,0.22118928229056087,1.3721864976059062,2.0896615287223734,2.629581815872197,0.14706306451159334,2.3400845325287234,2.7946666945863243,2.6180227237926195,0.06869014459955108,2.5183300289513757,2.711137612273776,0.5012395144064323,0.1145029332093786,0.35692054955175734,0.7280991150642924,0.001631337669734134,0.04094721765542874,-0.07579276706047655,0.047582844228089116,0.01663880396966271,0.07817987162640047,-0.12550055363547985,0.1669659485319792,0.7043167406532234,0.07891164064440113,0.5983403646492731,0.8533304719323003,0.30983409118212746,0.04422633897112564,0.25333856824034273,0.3949283840477876,0.3316244921203778,0.05270237601973798,0.24094315350802104,0.41761748892590467,0.7561008438956903,0.21242579351674706,0.48259437429296304,1.1945951258340741,0.7676599359752676,0.2941120310789781,0.4004613301308211,1.4196545136907168
iface_SD_semi_sd_static_plus_dynamic_all_z16,vae_ridge,SD,semi_supervised,sd_static_plus_dynamic_all,16,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_interface.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_static_plus_dynamic_all_z16/resample_summary.json,1.864134654989659,0.22292760862426383,1.2970227701211385,2.1486189396378763,2.609529866343106,0.1369509730167184,2.359490735705919,2.8024528683133636,2.623828559649408,0.10215297346551837,2.4838277534225095,2.796412765674827,0.5001202958364738,0.10808749918443647,0.3699732960316615,0.7645933179401171,0.014756249782351271,0.07404170448259847,-0.14779010558138062,0.10652201916127024,0.014554750833813957,0.0533019654430714,-0.07849121229107991,0.09969401530034383,0.7041880954618962,0.07232621347302301,0.6087760906827095,0.874863604050227,0.3232399140061814,0.055388440911226695,0.21323966493030888,0.41006330171237576,0.3251876952268643,0.043522452812352896,0.23827468461645027,0.39170028146604274,0.7596939046597494,0.21594734179333097,0.5411083776295582,1.2949450970611704,0.7453952113534471,0.2740892770645055,0.2685025210667171,1.323147718548738
full_SD_unsup_shared_static_z16,vae_ridge,SD,unsupervised,shared_static,16,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z16/resample_summary.json,2.6047746790125794,0.06395531682765897,2.5218106643002254,2.7308454602382186,2.638566400397804,0.11261278835125303,2.435573665783433,2.778739594018893,2.631304755474109,0.11311810403623589,2.47890264021017,2.8122238325227107,0.03752202920447756,0.02580343379364595,1.4132129713795294e-05,0.08222150090373559,-0.007183833834261977,0.059539495431846,-0.16538135993237213,0.04785739383356402,0.0102489487765673,0.024811833099991864,-0.014467222636976196,0.04425471802190617,0.200838809528768,0.06345854208355577,0.07801657794592178,0.2916180861666766,0.12449064937084771,0.06948369667996576,0.027010689751710275,0.2508286624708426,0.12587172266760158,0.07835348932951515,0.030524639618709794,0.2259119350158815,0.026530076461530116,0.16974807875313072,-0.23810689562591847,0.2904131682224853,0.03379172138522515,0.14246720653949008,-0.21321649020633116,0.20079508473909957
full_SD_unsup_shared_static_z8,vae_ridge,SD,unsupervised,shared_static,8,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z8/resample_summary.json,2.619868379085561,0.05196071688728101,2.546542095069195,2.701520226662568,2.638061283319302,0.16594081963220772,2.292616966156682,2.8652628018737865,2.6322432869844414,0.132276065638547,2.466371639286564,2.8673911286137157,0.02638867834480797,0.01360489545282878,4.181484502541188e-06,0.04804041975675233,-0.0036615313352841407,0.028782462329845555,-0.06741292953685663,0.03784527114618741,0.010292301144444172,0.015668447278819744,-0.011006075300120433,0.038331563322438256,0.16199462137172385,0.045137361399658904,0.06534657522081823,0.2208681375350561,0.07996670142696709,0.08150430145978803,-0.09149499686864139,0.19726673769625702,0.1248590228390376,0.044996000550820904,0.06775994894829268,0.20674643814694663,0.012374907898880183,0.16997798400575187,-0.20830411821457684,0.28184414681215486,0.018192904233740627,0.20463198408755884,-0.3725338181792064,0.31872070680459164
iface_S_unsup_shared_static_z32,vae_ridge,S,unsupervised,shared_static,32,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_interface.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_S_unsup_shared_static_z32/resample_summary.json,2.620584821878218,0.0483793228731958,2.547486175476937,2.70194522556441,2.6320153921045972,0.16999919047332496,2.2437742963201646,2.8075485698006437,2.6323650035442876,0.13109288171047717,2.444394353195351,2.8364766644721118,0.025731526519461846,0.018779893097991232,1.006906188238954e-05,0.05640265068992034,0.001484090594019083,0.015959280835405407,-0.019801247375178965,0.03438866439391797,0.010180618029837152,0.015549009931045894,-0.01779866751875092,0.028200971473759995,0.1688176239799422,0.06133698084599686,0.05197030483680804,0.243285308152134,0.0791172854924263,0.06744361616460938,-0.0347684068646509,0.2209279930662653,0.1210972266015293,0.08699161057034786,-0.052983992308216,0.1949599498271787,0.011780181666068978,0.16506593892249,-0.21532481836531003,0.28899048899517465,0.011430570226379189,0.19830629127036647,-0.4226134019449357,0.20699404300510738
full_SD_unsup_sd_static_plus_dynamic_all_z32,vae_ridge,SD,unsupervised,sd_static_plus_dynamic_all,32,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_sd_static_plus_dynamic_all_z32/resample_summary.json,2.5717433335125603,0.06952705136401802,2.469929696268728,2.6873825088782697,2.630814254160492,0.1683217848336933,2.2894459098277133,2.8699491142134343,2.632788305028351,0.11965731558839067,2.4928597003537747,2.8544816901109344,0.062003038550949595,0.019964048751331218,0.031591512772056074,0.10445797006208812,0.0019190624465482253,0.02942403134912987,-0.03431588805392427,0.05297931053941318,0.009280699384655432,0.025965440527361015,-0.030279184354854438,0.04546178319730054,0.2641048137407899,0.0345485775300177,0.2030943501668242,0.3266688971382094,0.1178087847877888,0.08463394845424173,0.011123248608799494,0.2665357888436296,0.12548742025637755,0.07430324299654507,0.02367306279961196,0.23216164302943587,0.06104497151579049,0.17331964347508,-0.194522808524495,0.34403899911538094,0.059070920647931936,0.21179868616080413,-0.3235933649670226,0.32360453650558485
full_SD_unsup_sd_dynamic_all_z32,vae_ridge,SD,unsupervised,sd_dynamic_all,32,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_sd_dynamic_all_z32/resample_summary.json,2.5989357927617642,0.07189342073002103,2.503332962406547,2.707052377788822,2.6156253263752296,0.1485365260304471,2.2725495277616448,2.805522066910672,2.6353364216766573,0.12004611936746534,2.4797172603086866,2.845848318976973,0.04191688945023597,0.028176222584105817,0.0012781920793092372,0.07710992982788767,0.01284173951877129,0.022006254844520557,-0.016214229550006953,0.05342328368653937,0.007428573312866204,0.023814398778618507,-0.03476164080462163,0.05434252322850652,0.2066534194647795,0.09117236529234442,0.04495084202160015,0.28950073229342005,0.12400015600424985,0.09999221133673071,-0.11694550760076144,0.2348895253210135,0.11000171549424875,0.07420929356136031,0.009123480289627497,0.24838783234112574,0.03640062891489295,0.1658893439102631,-0.22733511748013546,0.32639194416407014,0.01668953361346568,0.19877243846403744,-0.42999274481325545,0.21083472450146878
full_SD_unsup_shared_static_z32,vae_ridge,SD,unsupervised,shared_static,32,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/resample_summary.json,2.534344116371896,0.07596930179835075,2.45608666194827,2.6774167155176376,2.6349262201255597,0.2228401141206408,2.277237558457274,3.144693243670665,2.6364666721660446,0.11206169075831326,2.429592355967399,2.8022755748973784,0.08854874035239352,0.04142279759405241,0.03109877471944722,0.15586684477672086,-0.006133990233914799,0.14360807866591438,-0.3980281031147179,0.09132730692742386,0.003897096567971492,0.08031285498545569,-0.18970088556875675,0.10185667051320535,0.2962950024261565,0.06839409955145623,0.19188476850845668,0.39749647936054383,0.1821777519099222,0.10764656576107358,0.027177811549304938,0.3037969734040143,0.18126911434869258,0.10022626818916971,-0.03754309944357099,0.330371470937695,0.10212255579414901,0.1289137828092875,-0.0574895096096979,0.3298128727162202,0.10058210375366357,0.26735996660880457,-0.35273337961154994,0.6886065817223952
iface_SD_semi_sd_dynamic_all_z16,vae_ridge,SD,semi_supervised,sd_dynamic_all,16,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_interface.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/resample_summary.json,1.6906174944211443,0.3050578078210068,0.9698690606398708,2.0129449469695344,2.656287584635055,0.11039076597616997,2.4956623170795336,2.8024912407474067,2.6365676292899822,0.07088697116084242,2.540249814641765,2.742263376892606,0.5813141776448222,0.13593364887924428,0.4032718413544468,0.8683715413298461,-0.023761453614659134,0.10238983056249781,-0.22626747797551272,0.09640328746923887,0.0031677488399962316,0.07399000823550704,-0.14646709020786464,0.09254693052749008,0.7580859185781123,0.08727295675129076,0.6354450169748861,0.9319480274306012,0.3075270751762085,0.05922811986832407,0.21670384912713908,0.39040310973327436,0.3297856534273866,0.045173174987950704,0.25234548147270564,0.38336197930333515,0.9459501348688379,0.2830440565591754,0.6477375127272422,1.5703807540018941,0.96567009021391,0.33298503056721723,0.5690485099401541,1.6709992372072409
iface_S_unsup_shared_static_z8,vae_ridge,S,unsupervised,shared_static,8,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_interface.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_S_unsup_shared_static_z8/resample_summary.json,2.6364667406986606,0.04127075329098354,2.5855397604535506,2.707687625712043,2.632047548407672,0.1636261147755176,2.256505018019317,2.819121687303414,2.642654500582206,0.13261253465857625,2.4776415017713265,2.867394359875185,0.013903495460710092,0.011771844447476951,1.6908703126539137e-07,0.03305092799144771,0.0011954534021654361,0.011372463469170278,-0.011152052788694133,0.030572852529200945,0.002483890379991527,0.012726255771455764,-0.010461626035018101,0.03166601200914587,0.12630120922408253,0.041791293953286075,0.06088000505308168,0.19205784566566025,0.08386976425678887,0.055161010510941064,0.01675116513708786,0.22199024108722135,0.07895724189767785,0.05348395285072468,0.01432338791349292,0.19475911734840118,0.006187759883545985,0.16379848465344604,-0.22285516357519963,0.2818545994216346,-0.004419192290988328,0.19393105973586053,-0.4232992070674966,0.20761441426838223
full_SD_unsup_sd_dynamic_all_z16,vae_ridge,SD,unsupervised,sd_dynamic_all,16,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_sd_dynamic_all_z16/resample_summary.json,2.6148252048511784,0.04944662858587692,2.5426778932992895,2.6911650047989895,2.629299975779168,0.15026270832171187,2.299769904060438,2.819640937901893,2.644073808030694,0.13205222768807684,2.4802456338995196,2.8374238241157808,0.030118706535904947,0.012175097579745454,0.009537999598586366,0.044827161598559484,0.0025362348692310353,0.02066190467743057,-0.039044865385104766,0.029548458878330797,0.0013497411967311134,0.01675458426590456,-0.02272608261817166,0.027917007219830703,0.1800517025704405,0.03253133647540387,0.12144388324582794,0.21387027627172875,0.10473230036394014,0.05043559584815814,0.03141930694352268,0.20078458249034734,0.09805818065559756,0.04783473739092948,0.020221216208733524,0.1671853309449528,0.029248603179515786,0.1720200095319522,-0.21091937089946988,0.29474593081649125,0.014474770927990033,0.17620934935263496,-0.34581012145150414,0.22683722608403256
iface_S_unsup_shared_static_z16,vae_ridge,S,unsupervised,shared_static,16,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_interface.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_S_unsup_shared_static_z16/resample_summary.json,2.6297274934322603,0.051155246976128055,2.5512887269091875,2.704059257193552,2.637678246733123,0.15705611980046572,2.257738470755794,2.801191381347755,2.645429109041572,0.12951089248895242,2.484409374066196,2.870630912382935,0.01906224432788788,0.011215940813192347,2.4006470832449445e-05,0.04144782856534568,-0.003400988561536178,0.015321969558846887,-0.031051794236076402,0.029418619837714766,0.0003007111821040409,0.01099685561380946,-0.015989476152284743,0.014283904956589821,0.15341689845867618,0.03125612407457178,0.10412282866464297,0.21309371621013046,0.07526089842624621,0.12025259882012489,-0.06230485246395402,0.2987076352934815,0.07739995403434827,0.06362076713491154,-0.008628101916901266,0.17852121825512934,0.01570161560931114,0.1746471969929009,-0.21964988312735567,0.3193421854737477,0.007950753300862123,0.1830626223950099,-0.3925173589869746,0.1953928278931234
full_SD_unsup_sd_static_plus_dynamic_all_z8,vae_ridge,SD,unsupervised,sd_static_plus_dynamic_all,8,128,3,1437,10,0.1875,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_views_force_mdiface_v3/md_closest_pair_patch/graph_records_full.pt,graphvae_resample_matrix_v1_summaries/src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_sd_static_plus_dynamic_all_z8/resample_summary.json,2.64065374374141,0.04554906989952996,2.584982038777174,2.7095703339168424,2.6339747898254893,0.15464537407419093,2.271541862756963,2.8129225219173217,2.645433637307794,0.13776083228674021,2.4663532436378044,2.8665478305142504,0.01082715903444027,0.010705294270703871,0.00019670807848204408,0.031069204992492883,-0.000667522732623893,0.012187725365887038,-0.017885570061169975,0.02084299894375019,0.0006339239368439054,0.004496312811440282,-0.004911462881775686,0.007987038282031067,0.09591971843002987,0.05645977386886664,0.0248801033828381,0.18686043089001406,0.06275591612658508,0.08632685198778496,-0.10660586547561696,0.23073046820124093,0.07192727406075482,0.03545136879872367,0.03309912708669933,0.1369563207727498,0.004779893566383686,0.16746602494566426,-0.23988447603479202,0.2815657917370764,-0.00667895391592106,0.1907095629383088,-0.43024762275654327,0.21346266264664315
